model_trait,model_trait_description,outcome_id,outcome_description,outcome_content,mapping_tier,sapa_proxy_construct,sapa_source_scales,sapa_item_ids,human_measurement_support_tier,exact_source_group,exact_source_group_size,overlap_item_ids,predictor_min_observed_items,outcome_min_observed_items,eligible_respondent_n,pearson_r,pearson_ci95_low,pearson_ci95_high,spearman_r,spearman_ci95_approx_low,spearman_ci95_approx_high,association_status,unavailable_reason
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_2765,Am happy with my life.,Appraisal,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,98,0.07742598,-0.12288262,0.27167306,0.06239542,-0.13773053,0.25762663,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_1371,Love life.,Appraisal,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,124,0.16608756,-0.01053763,0.33266248,0.13055548,-0.04683933,0.29996711,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_1043,Have a lot of fun.,Affect,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,111,0.09704537,-0.09099348,0.27840237,0.01722915,-0.16970876,0.20297024,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_208,Am often in a bad mood.,Affect,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,132,0.04204123,-0.12976339,0.21139508,0.05443299,-0.11753264,0.22322915,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_206,Am often down in the dumps.,Affect,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,132,0.08681215,-0.085326,0.25391802,0.07898465,-0.0931449,0.24652985,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_1578,Rarely feel depressed.,Affect,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,98,-0.27708251,-0.45072301,-0.08323808,-0.26718655,-0.44216575,-0.07261552,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_875,Feel that my life lacks direction.,Meaning-making,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,125,0.018001,-0.15810631,0.19299843,0.00919164,-0.16668493,0.18450135,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_285,Am very pleased with myself.,Self-concept,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,125,0.22334194,0.04968302,0.38389298,0.20412649,0.02957927,0.36659306,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_820,Feel comfortable with myself.,Self-concept,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,100,-0.02580051,-0.22109817,0.17148664,-0.05555112,-0.24924962,0.14242098,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_1044,Have a low opinion of myself.,Self-concept,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,131,-0.03766577,-0.20784843,0.13473017,-0.05765346,-0.22693479,0.11500936,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_867,Feel that I'm unable to deal with things.,Self-concept,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,144,0.04720979,-0.11727175,0.20917042,0.00409875,-0.15958417,0.16756233,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_4288,Often feel lonely.,Interpersonal relationships,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,131,0.01564414,-0.15630077,0.18666873,-0.00369027,-0.17510493,0.16794153,observed,
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_832,Feel healthy and vibrant most of the time.,Vitality,close,bombastic,HEXACO:H:H:S;HEXACO:H:H:GA,q_1555;q_1871,REDUNDANT / BROAD,a176b4ee903f,1,,2,1,134,0.07635021,-0.09446129,0.24279488,0.08340672,-0.0874182,0.24946647,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,HiFWB_composite,frozen_13_item_composite,Composite,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,2,863,-0.13565894,-0.20057795,-0.06955374,-0.14974848,-0.21434135,-0.08385156,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_2765,Am happy with my life.,Appraisal,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,301,-0.18654565,-0.29341011,-0.07507667,-0.19767644,-0.30393644,-0.08655853,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_1371,Love life.,Appraisal,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,348,-0.12714732,-0.22921438,-0.02231459,-0.17812103,-0.27804535,-0.07438293,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_1043,Have a lot of fun.,Affect,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,262,-0.20599153,-0.31921056,-0.08697507,-0.21660218,-0.32914984,-0.0979866,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_208,Am often in a bad mood.,Affect,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,344,-0.24582763,-0.34266167,-0.143825,-0.28795563,-0.3820635,-0.18793685,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_206,Am often down in the dumps.,Affect,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,343,-0.02376867,-0.12933858,0.08233402,-0.03793174,-0.14325178,0.06823781,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_1578,Rarely feel depressed.,Affect,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,279,-0.09312835,-0.20828218,0.02457204,-0.1123414,-0.22678126,0.00515831,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_875,Feel that my life lacks direction.,Meaning-making,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,343,-0.19802436,-0.29767755,-0.09410222,-0.17742266,-0.27809323,-0.07289681,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_285,Am very pleased with myself.,Self-concept,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,340,-0.05966616,-0.16498135,0.04699429,-0.09173554,-0.19618354,0.01477079,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_820,Feel comfortable with myself.,Self-concept,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,274,0.03837899,-0.080487,0.1561687,0.01294732,-0.10571482,0.1312459,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_1044,Have a low opinion of myself.,Self-concept,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,349,-0.07373704,-0.17734432,0.03148679,-0.05927078,-0.16323518,0.0459955,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_867,Feel that I'm unable to deal with things.,Self-concept,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,343,-0.05153256,-0.15657358,0.05466119,-0.08122748,-0.1855271,0.024882,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_4288,Often feel lonely.,Interpersonal relationships,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,355,-0.06103391,-0.16407959,0.04332941,-0.04706556,-0.15041674,0.05730322,observed,
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_832,Feel healthy and vibrant most of the time.,Vitality,direct,callous,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,q_146;q_251;q_4231,REDUNDANT / BROAD,cffdfbc3846f,1,,2,1,366,-0.07024226,-0.17151732,0.03250185,-0.08431736,-0.18522645,0.01835134,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",HiFWB_composite,frozen_13_item_composite,Composite,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,2,334,0.3316484,0.23261272,0.42387687,0.31029646,0.20997392,0.40415298,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_2765,Am happy with my life.,Appraisal,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,113,0.34164393,0.16748435,0.49512548,0.30471476,0.12714173,0.46336198,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_1371,Love life.,Appraisal,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,149,0.20399791,0.04466303,0.35321151,0.19031295,0.03044468,0.34068709,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_1043,Have a lot of fun.,Affect,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,102,0.06110959,-0.13496932,0.25258272,0.00214942,-0.1924059,0.19654216,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_208,Am often in a bad mood.,Affect,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,162,0.25692506,0.10696729,0.39545394,0.22710493,0.07555531,0.36839957,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_206,Am often down in the dumps.,Affect,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,142,0.28892387,0.13040295,0.43304114,0.27320372,0.11358839,0.41907107,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_1578,Rarely feel depressed.,Affect,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,104,0.22295948,0.03173389,0.39843899,0.22039036,0.02903449,0.39616358,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_875,Feel that my life lacks direction.,Meaning-making,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,150,0.04868971,-0.11244926,0.2073334,0.01257463,-0.14798512,0.17248855,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_285,Am very pleased with myself.,Self-concept,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,140,0.36853841,0.21583144,0.50364779,0.37400528,0.22186866,0.50836516,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_820,Feel comfortable with myself.,Self-concept,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,108,0.35471964,0.17765436,0.50953785,0.37452929,0.19968856,0.52625674,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_1044,Have a low opinion of myself.,Self-concept,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,155,0.37282316,0.22861155,0.50102377,0.36130825,0.21596107,0.49098989,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_867,Feel that I'm unable to deal with things.,Self-concept,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,151,0.43151561,0.29190692,0.5531201,0.45915031,0.3231192,0.57659189,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_4288,Often feel lonely.,Interpersonal relationships,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,131,-0.00481574,-0.17619569,0.16684758,0.05481438,-0.11781885,0.22423164,observed,
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",q_832,Feel healthy and vibrant most of the time.,Vitality,direct,calm,IPIPneo:N6:VU;HEXACO:H:E:A,q_85;q_1616,REDUNDANT / BROAD,8525e5a00b9b,1,,2,1,123,0.37247913,0.20924258,0.51551932,0.3324613,0.16514702,0.48117509,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",HiFWB_composite,frozen_13_item_composite,Composite,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,2,879,-0.19932251,-0.26199383,-0.1349771,-0.20548452,-0.26796791,-0.14127974,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_2765,Am happy with my life.,Appraisal,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,284,-0.00613394,-0.12243827,0.11033658,-0.01034497,-0.1265843,0.10617462,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_1371,Love life.,Appraisal,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,392,-0.14950198,-0.24492347,-0.05121204,-0.1368225,-0.232717,-0.03829316,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_1043,Have a lot of fun.,Affect,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,282,-0.29875826,-0.40155004,-0.18853297,-0.28085925,-0.38503242,-0.16961933,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_208,Am often in a bad mood.,Affect,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,363,-0.15882003,-0.25754305,-0.05681553,-0.12992481,-0.22978507,-0.02735737,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_206,Am often down in the dumps.,Affect,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,373,-0.2153973,-0.31015607,-0.11640071,-0.21022429,-0.3052507,-0.11105239,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_1578,Rarely feel depressed.,Affect,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,282,-0.04595937,-0.16189466,0.07122739,-0.07178769,-0.18702386,0.04539736,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_875,Feel that my life lacks direction.,Meaning-making,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,375,-0.02460558,-0.12556374,0.07685698,-0.02932575,-0.1302101,0.0721596,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_285,Am very pleased with myself.,Self-concept,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,398,-0.2115157,-0.30350343,-0.11562162,-0.22497105,-0.31627492,-0.12953763,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_820,Feel comfortable with myself.,Self-concept,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,275,-0.11059622,-0.22592468,0.00778964,-0.09684104,-0.2126887,0.02169138,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_1044,Have a low opinion of myself.,Self-concept,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,397,-0.21588324,-0.30776584,-0.1200113,-0.22032858,-0.31198504,-0.12460884,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_867,Feel that I'm unable to deal with things.,Self-concept,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,386,-0.23120059,-0.32354985,-0.13448826,-0.22307395,-0.31585696,-0.12606497,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_4288,Often feel lonely.,Interpersonal relationships,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,384,-0.12766558,-0.22486848,-0.02794675,-0.13438516,-0.23134969,-0.03477699,observed,
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_832,Feel healthy and vibrant most of the time.,Vitality,close,cautious,MPQ:MPQ:HA;HEXACO:H:E:F,q_1781;q_292;q_2020,REDUNDANT / BROAD,0b8be811ace7,1,,2,1,364,-0.17428468,-0.27219987,-0.07279719,-0.18304959,-0.28056219,-0.08179703,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",HiFWB_composite,frozen_13_item_composite,Composite,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,q_820,2,2,737,,,,,,,unavailable,predictor_outcome_item_overlap
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_2765,Am happy with my life.,Appraisal,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,175,0.53979022,0.42552028,0.63711675,0.53017519,0.41442575,0.62904526,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_1371,Love life.,Appraisal,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,270,0.47065388,0.37218935,0.55864259,0.47878226,0.38119351,0.56581875,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_1043,Have a lot of fun.,Affect,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,204,0.49952198,0.38883246,0.59599596,0.46261074,0.34731096,0.5641317,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_208,Am often in a bad mood.,Affect,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,267,0.438721,0.33639187,0.53081076,0.45740416,0.35695882,0.54739288,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_206,Am often down in the dumps.,Affect,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,268,0.54363641,0.45334577,0.62288351,0.54055001,0.44986635,0.62020118,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_1578,Rarely feel depressed.,Affect,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,189,0.44950917,0.32781076,0.55653308,0.45450308,0.33340097,0.56085024,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_875,Feel that my life lacks direction.,Meaning-making,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,254,0.36781191,0.25633202,0.46963516,0.3528769,0.24022627,0.45614921,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_285,Am very pleased with myself.,Self-concept,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,264,0.55308345,0.46329139,0.63163487,0.55417034,0.46452136,0.63257592,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_820,Feel comfortable with myself.,Self-concept,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,q_820,2,1,669,,,,,,,unavailable,predictor_outcome_item_overlap
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_1044,Have a low opinion of myself.,Self-concept,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,252,0.55473597,0.4628947,0.63479353,0.54612745,0.45313512,0.62736183,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_867,Feel that I'm unable to deal with things.,Self-concept,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,280,0.40923582,0.30672852,0.50235852,0.40932631,0.30682699,0.50243978,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_4288,Often feel lonely.,Interpersonal relationships,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,255,0.41478059,0.30761167,0.51155789,0.40277691,0.29450596,0.50083889,observed,
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",q_832,Feel healthy and vibrant most of the time.,Vitality,close,chill,IPIP100:B5:ES;MPQ:MPQ:SR;BFAS:BFAS:N:W;IPIP100:B5:E;HEXACO:H:X:SB,q_248;q_820;q_819,REDUNDANT / BROAD,033e54d4704e,1,,2,1,271,0.53505745,0.44422377,0.61500312,0.49641943,0.40098284,0.58119623,observed,
competitive,"Emphasizes winning, achievement, and outperforming others.",HiFWB_composite,frozen_13_item_composite,Composite,close,competitive,IPIPneo:A6:SY,q_1910,INSUFFICIENT,723c0dc26769,1,,1,2,1339,-0.00597125,-0.0595231,0.04761488,-0.01398629,-0.06750661,0.03961428,observed,
competitive,"Emphasizes winning, achievement, and outperforming others.",q_2765,Am happy with my life.,Appraisal,close,competitive,IPIPneo:A6:SY,q_1910,INSUFFICIENT,723c0dc26769,1,,1,1,421,-0.07748107,-0.1717814,0.01822627,-0.0788761,-0.17314326,0.0168231,observed,
competitive,"Emphasizes winning, achievement, and outperforming others.",q_1371,Love life.,Appraisal,close,competitive,IPIPneo:A6:SY,q_1910,INSUFFICIENT,723c0dc26769,1,,1,1,507,0.03455061,-0.05269052,0.12126835,0.0107245,-0.07642948,0.09771584,observed,
competitive,"Emphasizes winning, achievement, and outperforming others.",q_1043,Have a lot of fun.,Affect,close,competitive,IPIPneo:A6:SY,q_1910,INSUFFICIENT,723c0dc26769,1,,1,1,445,0.03533115,-0.05781557,0.12786803,0.02874993,-0.06437896,0.12138237,observed,
competitive,"Emphasizes winning, achievement, and outperforming others.",q_208,Am often in a bad mood.,Affect,close,competitive,IPIPneo:A6:SY,q_1910,INSUFFICIENT,723c0dc26769,1,,1,1,510,-0.11849616,-0.20323109,-0.03199951,-0.13363685,-0.21793401,-0.0473605,observed,
competitive,"Emphasizes winning, achievement, and outperforming others.",q_206,Am often down in the dumps.,Affect,close,competitive,IPIPneo:A6:SY,q_1910,INSUFFICIENT,723c0dc26769,1,,1,1,483,-0.01034187,-0.0994719,0.0789528,-0.01247903,-0.10158774,0.07682833,observed,
