trait,review_decision,bridge_tier,item_id,item_text,original_item_polarity_relative_to_trait,orientation_sign,transformation,final_orientation,released_response_scale,official_derived_scoring_keys,official_reverse_keyed_in_scales,source_scale_memberships,second_pass_direction_note,orientation_status,item_administration_n,item_observed_fraction
cautious,ACCEPT_CLOSE,secondary_close,q_292,Am willing to take risks.,negative_indicator,-1,7-response,higher=cautious,1-6,SPI_15boldness;HEXACO_E;HEFear,,HEXACO:H:E:F,handled,explicit_resolved,3326,0.14046201
cautious,ACCEPT_CLOSE,secondary_close,q_2020,Would never make a high-risk investment.,positive_indicator,1,identity,higher=cautious,1-6,MPQha,,MPQ:MPQ:HA,handled,explicit_resolved,2471,0.10435407
meticulous,ACCEPT_DIRECT,primary_direct,q_1063,Have an eye for detail.,positive_indicator,1,identity,higher=meticulous,1-6,HEXACO_C;HCPerfect,,HEXACO:H:C:PE,none,explicit_resolved,4356,0.18396047
meticulous,ACCEPT_DIRECT,primary_direct,q_1507,Pay attention to details.,positive_indicator,1,identity,higher=meticulous,1-6,IPIP100consc;IPIP50Consc;HEXACO_C;MPQco;HCPerfect,,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO,none,explicit_resolved,4333,0.18298915
meticulous,ACCEPT_DIRECT,primary_direct,q_1915,Want every detail taken care of.,positive_indicator,1,identity,higher=meticulous,1-6,BFASorder;HEXACO_C;HCPerfect,,BFAS:BFAS:C:O;HEXACO:H:C:PE,none,explicit_resolved,4381,0.18501626
introspective,ACCEPT_DIRECT,primary_direct,q_1880,Try to understand myself.,positive_indicator,1,identity,higher=introspective,1-6,SPI_15openness;NEO_O;NEOo3,,IPIPneo:O3:EM,none,explicit_resolved,2401,0.10139786
introspective,ACCEPT_DIRECT,primary_direct,q_1310,Like to get lost in thought.,positive_indicator,1,identity,higher=introspective,1-6,NEO_O;MPQab;NEOo1,,MPQ:MPQ:AB;IPIPneo:O1:IM,none,explicit_resolved,2523,0.10655011
innovative,ACCEPT_DIRECT,primary_direct,q_1392,Love to think up new ways of doing things.,positive_indicator,1,identity,higher=innovative,1-6,IPIP100intel;HEXACO_O;HOCreative,,IPIP100:B5:O;HEXACO:H:O:C,none,explicit_resolved,4332,0.18294691
innovative,ACCEPT_DIRECT,primary_direct,q_2745,Am able to come up with new and different ideas.,positive_indicator,1,identity,higher=innovative,1-6,SPI_5intelOpen;PSp,,PS:PS:P,none,explicit_resolved,2421,0.10224249
innovative,ACCEPT_DIRECT,primary_direct,q_516,Come up with something new.,positive_indicator,1,identity,higher=innovative,1-6,HEXACO_O;HOCreative,,HEXACO:H:O:C,none,explicit_resolved,4376,0.1848051
assertive,ACCEPT_DIRECT,primary_direct,q_2161,Do not have an assertive personality.,negative_indicator,-1,7-response,higher=assertive,1-6,BFASassert,BFASassert,BFAS:BFAS:E:A,handled,explicit_resolved,4315,0.18222898
assertive,ACCEPT_DIRECT,primary_direct,q_1768,Take charge.,positive_indicator,1,identity,higher=assertive,1-6,IPIP100extra;BFASassert;NEO_E;MPQsp;NEOe3,,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,handled,explicit_resolved,4366,0.18438279
assertive,ACCEPT_DIRECT,primary_direct,q_1769,Take control of things.,positive_indicator,1,identity,higher=assertive,1-6,NEO_E;NEOe3,,IPIPneo:E3:AS,handled,explicit_resolved,2536,0.10709912
independent,ACCEPT_CLOSE,secondary_close,q_4244,Prefer to go my own way rather than act by the rules.,positive_indicator,1,identity,higher=independent,1-6,EPQp,,EPQr:EPQ:P,handled,explicit_resolved,2476,0.10456523
independent,ACCEPT_CLOSE,secondary_close,q_463,Can't do without the company of others.,negative_indicator,-1,7-response,higher=independent,1-6,HEXACO_E;HEDepend,HEXACO_E;HEDepend,HEXACO:H:E:D,handled,explicit_resolved,3263,0.13780143
spiritual,ACCEPT_CLOSE,secondary_close,q_345,Believe in one true religion.,positive_indicator,1,identity,higher=spiritual,1-6,SPI_15seriousness;NEO_O;MPQtr;NEOo6,NEO_O;NEOo6,MPQ:MPQ:TR;IPIPneo:O6:LI,handled,explicit_resolved,2445,0.10325605
spiritual,ACCEPT_CLOSE,secondary_close,q_660,Don't consider myself religious.,negative_indicator,-1,7-response,higher=spiritual,1-6,MPQtr,MPQtr,MPQ:MPQ:TR,handled,explicit_resolved,2553,0.10781705
nonchalant,ACCEPT_CLOSE,secondary_close,q_248,Am relaxed most of the time.,positive_indicator,1,identity,higher=nonchalant,1-6,IPIP100stability;IPIP50EmoSt;NEO_N;MPQsr;NEOn1,NEO_N;MPQsr;NEOn1,IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N1:ANX,none,explicit_resolved,2633,0.11119557
nonchalant,ACCEPT_CLOSE,secondary_close,q_4261,Am more easy-going about right and wrong than most people.,positive_indicator,1,identity,higher=nonchalant,1-6,SPI_15easyGoingness;EPQp,,EPQr:EPQ:P,none,explicit_resolved,2454,0.10363613
theatrical,ACCEPT_DIRECT,primary_direct,q_2951,Have a colorful and dramatic way of talking about things. ,positive_indicator,1,identity,higher=theatrical,1-6,PSp,,PS:PS:P,none,explicit_resolved,2362,0.09975083
theatrical,ACCEPT_DIRECT,primary_direct,q_1555,Put on a show to impress people.,positive_indicator,1,identity,higher=theatrical,1-6,HEXACO_H;HHSincere,HEXACO_H;HHSincere,HEXACO:H:H:S,none,explicit_resolved,3572,0.15085096
passionate,ACCEPT_CLOSE,secondary_close,q_228,Am passionate about causes.,positive_indicator,1,identity,higher=passionate,1-6,NEO_O;NEOo3,,IPIPneo:O3:EM,none,explicit_resolved,2501,0.10562101
deferential,ACCEPT_CLOSE,secondary_close,q_1624,Respect authority.,positive_indicator,1,identity,higher=deferential,1-6,BFASpolite,,BFAS:BFAS:A:P,none,explicit_resolved,4025,0.16998184
deferential,ACCEPT_CLOSE,secondary_close,q_917,Find it necessary to please the people who have power.,positive_indicator,1,identity,higher=deferential,1-6,HEXACO_H;HHSincere,,HEXACO:H:H:S,none,explicit_resolved,3551,0.1499641
agreeable,ACCEPT_DIRECT,primary_direct,q_6,Accept people as they are.,positive_indicator,1,identity,higher=agreeable,1-6,HEXACO_A;HAGentle,,HEXACO:H:A:G,none,explicit_resolved,2515,0.10621226
agreeable,ACCEPT_DIRECT,primary_direct,q_1763,Sympathize with others' feelings.,positive_indicator,1,identity,higher=agreeable,1-6,SPI_3socCohesion;SPI_5compHonHum;SPI_15compassion;IPIP100agree;IPIP50Agree;BFAScomp,,IPIP100:B5:A;BFAS:BFAS:A:C,none,explicit_resolved,4080,0.17230457
agreeable,ACCEPT_DIRECT,primary_direct,q_1910,Value cooperation over competition.,positive_indicator,1,identity,higher=agreeable,1-6,SPI_15easyGoingness;NEO_A;NEOa6,,IPIPneo:A6:SY,none,explicit_resolved,2384,0.10067993
reverent,ACCEPT_CLOSE,secondary_close,q_1624,Respect authority.,positive_indicator,1,identity,higher=reverent,1-6,BFASpolite,,BFAS:BFAS:A:P,none,explicit_resolved,4025,0.16998184
reverent,ACCEPT_CLOSE,secondary_close,q_4236,People should always respect the law.,positive_indicator,1,identity,higher=reverent,1-6,EPQp,EPQp,EPQr:EPQ:P,none,explicit_resolved,2488,0.105072
manipulative,ACCEPT_DIRECT,primary_direct,q_1896,Use others for my own ends.,positive_indicator,1,identity,higher=manipulative,1-6,SPI_3socCohesion;SPI_5compHonHum;SPI_15machiavell;QB6honprop;NEO_A;NEOa2,SPI_3socCohesion;SPI_5compHonHum;QB6honprop;NEO_A;NEOa2,QB6:QB6:H;IPIPneo:A2:MO,handled,explicit_resolved,3509,0.14819038
manipulative,ACCEPT_DIRECT,primary_direct,q_1765,Take advantage of others.,positive_indicator,1,identity,higher=manipulative,1-6,SPI_3socCohesion;SPI_5compHonHum;SPI_15machiavell;BFASpolite;NEO_A;NEOa2,SPI_3socCohesion;SPI_5compHonHum;BFASpolite;NEO_A;NEOa2,BFAS:BFAS:A:P;IPIPneo:A2:MO,handled,explicit_resolved,2547,0.10756366
manipulative,ACCEPT_DIRECT,primary_direct,q_905,Find it difficult to manipulate others.,negative_indicator,-1,7-response,higher=manipulative,1-6,MPQsp,MPQsp,MPQ:MPQ:SP,handled,explicit_resolved,2428,0.10253811
melancholic,ACCEPT_DIRECT,primary_direct,q_1706,Show my sadness.,positive_indicator,1,identity,higher=melancholic,1-6,HEXACO_E;HEDepend,HEXACO_E;HEDepend,HEXACO:H:E:D,handled,explicit_resolved,3372,0.14240466
melancholic,ACCEPT_DIRECT,primary_direct,q_1578,Rarely feel depressed.,negative_indicator,-1,7-response,higher=melancholic,1-6,BFASwithdraw;HEXACO_E;HEAnxiety,BFASwithdraw,BFAS:BFAS:N:W;HEXACO:H:E:A,handled,explicit_resolved,2576,0.10878838
melancholic,ACCEPT_DIRECT,primary_direct,q_811,Feel a sense of worthlessness or hopelessness.,positive_indicator,1,identity,higher=melancholic,1-6,SPI_3emotionality;SPI_15enthusiasm;QB6resilient,SPI_15enthusiasm;QB6resilient,QB6:QB6:ES,handled,explicit_resolved,2614,0.11039318
playful,ACCEPT_DIRECT,primary_direct,q_4265,Like telling jokes and funny stories to my friends.,positive_indicator,1,identity,higher=playful,1-6,EPQe,,EPQr:EPQ:E,handled,explicit_resolved,2493,0.10528316
playful,ACCEPT_DIRECT,primary_direct,q_1685,Seldom joke around.,negative_indicator,-1,7-response,higher=playful,1-6,SPI_15seriousness;QB6extra;NEO_E;NEOe6,QB6extra;NEO_E;NEOe6,QB6:QB6:X;IPIPneo:E6:CH,handled,explicit_resolved,2726,0.1151231
playful,ACCEPT_DIRECT,primary_direct,q_1043,Have a lot of fun.,positive_indicator,1,identity,higher=playful,1-6,BFASenthus;HEXACO_X;NEO_E;MPQwb;HXLiveliness;NEOe6,,BFAS:BFAS:E:E;HEXACO:H:X:L;MPQ:MPQ:WB;IPIPneo:E6:CH,handled,explicit_resolved,2721,0.11491195
calm,ACCEPT_DIRECT,primary_direct,q_85,Am calm even in tense situations.,positive_indicator,1,identity,higher=calm,1-6,NEO_N;NEOn6,NEO_N;NEOn6,IPIPneo:N6:VU,none,explicit_resolved,2464,0.10405845
calm,ACCEPT_DIRECT,primary_direct,q_1616,Remain calm under pressure.,positive_indicator,1,identity,higher=calm,1-6,HEXACO_E;NEO_N;HEAnxiety;NEOn6,NEO_N;NEOn6,HEXACO:H:E:A;IPIPneo:N6:VU,none,explicit_resolved,2613,0.11035094
competitive,ACCEPT_CLOSE,secondary_close,q_1910,Value cooperation over competition.,negative_indicator,-1,7-response,higher=competitive,1-6,SPI_15easyGoingness;NEO_A;NEOa6,,IPIPneo:A6:SY,handled,explicit_resolved,2384,0.10067993
extroverted,ACCEPT_DIRECT,primary_direct,q_1742,Start conversations.,positive_indicator,1,identity,higher=extroverted,1-6,SPI_3sociability;SPI_5extraversion;IPIP100extra;IPIP50Extra,,IPIP100:B5:E,none,explicit_resolved,2759,0.11651674
extroverted,ACCEPT_DIRECT,primary_direct,q_1803,Talk to a lot of different people at parties.,positive_indicator,1,identity,higher=extroverted,1-6,SPI_3sociability;SPI_5extraversion;SPI_15sociability;IPIP100extra;IPIP50Extra;HEXACO_X;QB6extra;NEO_E;HXSociable;NEOe2,,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,none,explicit_resolved,2831,0.11955741
extroverted,ACCEPT_DIRECT,primary_direct,q_4257,Usually take the initiative in making new friends.,positive_indicator,1,identity,higher=extroverted,1-6,EPQe,,EPQr:EPQ:E,none,explicit_resolved,2492,0.10524093
bitter,ACCEPT_DIRECT,primary_direct,q_848,Feel short-changed in life.,positive_indicator,1,identity,higher=bitter,1-6,MPQal,,MPQ:MPQ:AL,none,explicit_resolved,2327,0.09827273
bitter,ACCEPT_DIRECT,primary_direct,q_1150,Hold a grudge.,positive_indicator,1,identity,higher=bitter,1-6,HEXACO_A;NEO_A;MPQag;HAForgive;NEOa4,HEXACO_A;NEO_A;HAForgive;NEOa4,HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,none,explicit_resolved,2483,0.10486085
bitter,ACCEPT_DIRECT,primary_direct,q_630,Do things out of revenge.,positive_indicator,1,identity,higher=bitter,1-6,MPQag,,MPQ:MPQ:AG,none,explicit_resolved,2487,0.10502977
hostile,ACCEPT_CLOSE,secondary_close,q_1051,Have a sharp tongue.,positive_indicator,1,identity,higher=hostile,1-6,HEXACO_A;NEO_A;MPQag;HAGentle;NEOa4,HEXACO_A;NEO_A;HAGentle;NEOa4,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,none,explicit_resolved,2551,0.10773259
hostile,ACCEPT_CLOSE,secondary_close,q_630,Do things out of revenge.,positive_indicator,1,identity,higher=hostile,1-6,MPQag,,MPQ:MPQ:AG,none,explicit_resolved,2487,0.10502977
hostile,ACCEPT_CLOSE,secondary_close,q_1150,Hold a grudge.,positive_indicator,1,identity,higher=hostile,1-6,HEXACO_A;NEO_A;MPQag;HAForgive;NEOa4,HEXACO_A;NEO_A;HAForgive;NEOa4,HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,none,explicit_resolved,2483,0.10486085
proactive,ACCEPT_CLOSE,secondary_close,q_1883,Turn plans into actions.,positive_indicator,1,identity,higher=proactive,1-6,NEO_C;NEOc4,,IPIPneo:C4:AS,none,explicit_resolved,2470,0.10431184
proactive,ACCEPT_CLOSE,secondary_close,q_4257,Usually take the initiative in making new friends.,positive_indicator,1,identity,higher=proactive,1-6,EPQe,,EPQr:EPQ:E,none,explicit_resolved,2492,0.10524093
emotional,ACCEPT_DIRECT,primary_direct,q_1681,Seldom get emotional.,negative_indicator,-1,7-response,higher=emotional,1-6,HEXACO_E;NEO_O;HESentiment;NEOo3,NEO_O;NEOo3,HEXACO:H:E:S;IPIPneo:O3:EM,handled,explicit_resolved,3405,0.1437983
emotional,ACCEPT_DIRECT,primary_direct,q_793,Experience my emotions intensely.,positive_indicator,1,identity,higher=emotional,1-6,NEO_O;NEOo3,,IPIPneo:O3:EM,handled,explicit_resolved,2438,0.10296043
emotional,ACCEPT_DIRECT,primary_direct,q_219,Am open about my feelings.,positive_indicator,1,identity,higher=emotional,1-6,MPQsc,,MPQ:MPQ:SC,handled,explicit_resolved,2452,0.10355167
dominant,ACCEPT_DIRECT,primary_direct,q_1768,Take charge.,positive_indicator,1,identity,higher=dominant,1-6,IPIP100extra;BFASassert;NEO_E;MPQsp;NEOe3,,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,handled,explicit_resolved,4366,0.18438279
dominant,ACCEPT_DIRECT,primary_direct,q_1769,Take control of things.,positive_indicator,1,identity,higher=dominant,1-6,NEO_E;NEOe3,,IPIPneo:E3:AS,handled,explicit_resolved,2536,0.10709912
dominant,ACCEPT_DIRECT,primary_direct,q_2161,Do not have an assertive personality.,negative_indicator,-1,7-response,higher=dominant,1-6,BFASassert,BFASassert,BFAS:BFAS:E:A,handled,explicit_resolved,4315,0.18222898
submissive,ACCEPT_CLOSE,secondary_close,q_2161,Do not have an assertive personality.,positive_indicator,1,identity,higher=submissive,1-6,BFASassert,BFASassert,BFAS:BFAS:E:A,handled,explicit_resolved,4315,0.18222898
submissive,ACCEPT_CLOSE,secondary_close,q_1768,Take charge.,negative_indicator,-1,7-response,higher=submissive,1-6,IPIP100extra;BFASassert;NEO_E;MPQsp;NEOe3,,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,handled,explicit_resolved,4366,0.18438279
reserved,ACCEPT_DIRECT,primary_direct,q_1196,Keep others at a distance.,positive_indicator,1,identity,higher=reserved,1-6,BFASenthus;HEXACO_X;NEO_E;MPQsc;HXSociable;NEOe1,BFASenthus;HEXACO_X;NEO_E;MPQsc;HXSociable;NEOe1,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E1:FR,handled,explicit_resolved,2707,0.11432071
reserved,ACCEPT_DIRECT,primary_direct,q_1635,Reveal little about myself.,positive_indicator,1,identity,higher=reserved,1-6,BFASenthus;QB6extra,BFASenthus;QB6extra,BFAS:BFAS:E:E;QB6:QB6:X,handled,explicit_resolved,2814,0.11883948
reserved,ACCEPT_DIRECT,primary_direct,q_1742,Start conversations.,negative_indicator,-1,7-response,higher=reserved,1-6,SPI_3sociability;SPI_5extraversion;IPIP100extra;IPIP50Extra,,IPIP100:B5:E,handled,explicit_resolved,2759,0.11651674
cynical,ACCEPT_DIRECT,primary_direct,q_594,Distrust people.,positive_indicator,1,identity,higher=cynical,1-6,SPI_15trust;HEXACO_A;NEO_A;MPQal;HAForgive;NEOa1,SPI_15trust;HEXACO_A;NEO_A;HAForgive;NEOa1,HEXACO:H:A:FO;MPQ:MPQ:AL;IPIPneo:A1:TR,handled,explicit_resolved,2643,0.11161789
cynical,ACCEPT_DIRECT,primary_direct,q_343,Believe in human goodness.,negative_indicator,-1,7-response,higher=cynical,1-6,NEO_A;NEOa1,,IPIPneo:A1:TR,handled,explicit_resolved,2457,0.10376283
cynical,ACCEPT_DIRECT,primary_direct,q_381,Believe that people are essentially evil.,positive_indicator,1,identity,higher=cynical,1-6,NEO_A;NEOa1,NEO_A;NEOa1,IPIPneo:A1:TR,handled,explicit_resolved,2436,0.10287597
grandiose,ACCEPT_DIRECT,primary_direct,q_364,Believe that I am better than others.,positive_indicator,1,identity,higher=grandiose,1-6,SPI_3socCohesion;SPI_5compHonHum;BFASpolite;HEXACO_H;NEO_A;HHModesty;NEOa5,SPI_3socCohesion;SPI_5compHonHum;BFASpolite;HEXACO_H;NEO_A;HHModesty;NEOa5,BFAS:BFAS:A:P;HEXACO:H:H:M;IPIPneo:A5:MO,none,explicit_resolved,3481,0.1470079
grandiose,ACCEPT_DIRECT,primary_direct,q_1042,Have a high opinion of myself.,positive_indicator,1,identity,higher=grandiose,1-6,NEO_A;NEOa5,NEO_A;NEOa5,IPIPneo:A5:MO,none,explicit_resolved,2449,0.10342498
grandiose,ACCEPT_DIRECT,primary_direct,q_1830,Think highly of myself.,positive_indicator,1,identity,higher=grandiose,1-6,NEO_A;NEOa5,NEO_A;NEOa5,IPIPneo:A5:MO,none,explicit_resolved,2417,0.10207357
spontaneous,ACCEPT_CLOSE,secondary_close,q_4276,Often make decisions on the spur of the moment.,positive_indicator,1,identity,higher=spontaneous,1-6,EPQe,,EPQr:EPQ:E,none,explicit_resolved,2522,0.10650788
spontaneous,ACCEPT_CLOSE,secondary_close,q_1488,Often make last-minute plans.,positive_indicator,1,identity,higher=spontaneous,1-6,NEO_C;MPQco;NEOc6,NEO_C;MPQco;NEOc6,MPQ:MPQ:CO;IPIPneo:C6:CA,none,explicit_resolved,2450,0.10346721
optimistic,ACCEPT_DIRECT,primary_direct,q_1350,Look at the bright side of life.,positive_indicator,1,identity,higher=optimistic,1-6,NEO_E;NEOe6,,IPIPneo:E6:CH,none,explicit_resolved,2422,0.10228472
optimistic,ACCEPT_DIRECT,primary_direct,q_1457,Never give up hope.,positive_indicator,1,identity,higher=optimistic,1-6,MPQuv,,MPQ:MPQ:UV,none,explicit_resolved,2405,0.10156679
optimistic,ACCEPT_DIRECT,primary_direct,q_1835,Think that all will be well.,positive_indicator,1,identity,higher=optimistic,1-6,NEO_A;NEOa1,,IPIPneo:A1:TR,none,explicit_resolved,2524,0.10659234
vindictive,ACCEPT_DIRECT,primary_direct,q_630,Do things out of revenge.,positive_indicator,1,identity,higher=vindictive,1-6,MPQag,,MPQ:MPQ:AG,none,explicit_resolved,2487,0.10502977
vindictive,ACCEPT_DIRECT,primary_direct,q_1150,Hold a grudge.,positive_indicator,1,identity,higher=vindictive,1-6,HEXACO_A;NEO_A;MPQag;HAForgive;NEOa4,HEXACO_A;NEO_A;HAForgive;NEOa4,HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,none,explicit_resolved,2483,0.10486085
rebellious,ACCEPT_DIRECT,primary_direct,q_1609,Rebel against authority.,positive_indicator,1,identity,higher=rebellious,1-6,HEXACO_O;HOUnconvention,,HEXACO:H:O:U,handled,explicit_resolved,2748,0.1160522
rebellious,ACCEPT_DIRECT,primary_direct,q_1624,Respect authority.,negative_indicator,-1,7-response,higher=rebellious,1-6,BFASpolite,,BFAS:BFAS:A:P,handled,explicit_resolved,4025,0.16998184
gregarious,ACCEPT_DIRECT,primary_direct,q_463,Can't do without the company of others.,positive_indicator,1,identity,higher=gregarious,1-6,HEXACO_E;HEDepend,HEXACO_E;HEDepend,HEXACO:H:E:D,none,explicit_resolved,3263,0.13780143
gregarious,ACCEPT_DIRECT,primary_direct,q_1742,Start conversations.,positive_indicator,1,identity,higher=gregarious,1-6,SPI_3sociability;SPI_5extraversion;IPIP100extra;IPIP50Extra,,IPIP100:B5:E,none,explicit_resolved,2759,0.11651674
gregarious,ACCEPT_DIRECT,primary_direct,q_1803,Talk to a lot of different people at parties.,positive_indicator,1,identity,higher=gregarious,1-6,SPI_3sociability;SPI_5extraversion;SPI_15sociability;IPIP100extra;IPIP50Extra;HEXACO_X;QB6extra;NEO_E;HXSociable;NEOe2,,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,none,explicit_resolved,2831,0.11955741
chill,ACCEPT_CLOSE,secondary_close,q_248,Am relaxed most of the time.,positive_indicator,1,identity,higher=chill,1-6,IPIP100stability;IPIP50EmoSt;NEO_N;MPQsr;NEOn1,NEO_N;MPQsr;NEOn1,IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N1:ANX,none,explicit_resolved,2633,0.11119557
chill,ACCEPT_CLOSE,secondary_close,q_820,Feel comfortable with myself.,positive_indicator,1,identity,higher=chill,1-6,BFASwithdraw;NEO_N;MPQsr;NEOn3,BFASwithdraw;NEO_N;MPQsr;NEOn3,BFAS:BFAS:N:W;MPQ:MPQ:SR;IPIPneo:N3:DE,none,explicit_resolved,2574,0.10870391
chill,ACCEPT_CLOSE,secondary_close,q_819,Feel comfortable around people.,positive_indicator,1,identity,higher=chill,1-6,IPIP100extra;IPIP50Extra;HEXACO_X;NEO_E;HXSocBold;NEOe1,,IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:E1:FR,none,explicit_resolved,2769,0.11693906
