item_id,item_text,audit_theme,physicality_status,constructs_containing_item,source_scale_memberships,valid_response_n,interpretive_note
q_1180,Keep in the background.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness;NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness;MPQ:MPQ:SP:Social Potency;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability;SPI_15sociability:Sociability,IPIP100:B5:E;HEXACO:H:X:SB;MPQ:MPQ:SP;IPIPneo:E3:AS,2805,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1196,Keep others at a distance.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:E:Enthusiasm;HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability;NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness;MPQ:MPQ:SC:Social Closeness,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E1:FR,2707,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1205,Know how to captivate people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;BFAS:BFAS:E:A:Assertiveness;PS:PS:P:Plasticity,IPIP100:B5:E;BFAS:BFAS:E:A;PS:PS:P,4273,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1242,Lack the talent for influencing people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:A:Assertiveness;MPQ:MPQ:SP:Social Potency,BFAS:BFAS:E:A;MPQ:MPQ:SP,4304,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1243,Laugh a lot.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:E:Enthusiasm;HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness;QB6:QB6:X:Extraversion,BFAS:BFAS:E:E;HEXACO:H:X:L;QB6:QB6:X,2721,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1244,Laugh aloud.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness,IPIPneo:E6:CH,2456,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1248,Laugh my way through life.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness,IPIPneo:E6:CH,2449,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1253,Learn things slowly.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,BFAS:BFAS:O:I:Intellect;SPI_15intellect:Intellect,BFAS:BFAS:O:I,4287,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1280,Let things proceed at their own pace.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level;SPI_15easyGoingness:Easy-Goingness,IPIPneo:E4:AL,2403,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1281,Like a leisurely lifestyle.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level,IPIPneo:E4:AL,2456,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1303,Like to begin new things.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness,IPIPneo:O4:AD,2494,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1306,Like to do frightening things.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness;QB6:QB6:H:Honesty/Propriety;SPI_15boldness:Boldness;SPI_3socCohesion:Social Cohesion,HEXACO:H:E:F;QB6:QB6:H,3326,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1327,Like to solve complex problems.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,BFAS:BFAS:O:I:Intellect;NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect,BFAS:BFAS:O:I;IPIPneo:O5:IN,4443,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1329,Like to take it easy.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level;SPI_15easyGoingness:Easy-Goingness,IPIPneo:E4:AL,2376,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1330,Like to take my time.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level,IPIPneo:E4:AL,2459,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1334,Like to visit new places.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness,IPIPneo:O4:AD,2492,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1350,Look at the bright side of life.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness,IPIPneo:E6:CH,2422,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1360,Love action.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking;SPI_15boldness:Boldness;SPI_3sociability:Sociability,IPIPneo:E5:ES,2363,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1367,Love dangerous situations.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness;SPI_15boldness:Boldness;SPI_3socCohesion:Social Cohesion,HEXACO:H:E:F,3303,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1368,Love excitement.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking,IPIPneo:E5:ES,2489,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1370,Love large parties.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness,IPIPneo:E2:GR,2429,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1371,Love life.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness;MPQ:MPQ:WB:Well-Being;SPI_15enthusiasm:Enthusiasm,MPQ:MPQ:WB;IPIPneo:E6:CH,2467,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1376,Love surprise parties.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness,IPIPneo:E2:GR,2450,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1379,Love to chat.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability;MPQ:MPQ:SC:Social Closeness;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability,HEXACO:H:X:S;MPQ:MPQ:SC,2757,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1388,Love to read challenging material.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness;NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect,IPIP100:B5:O;HEXACO:H:O:I;IPIPneo:O5:IN,4378,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1393,Maintain high energy throughout the day.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness,HEXACO:H:X:L,4378,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1410,Make friends easily.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;BFAS:BFAS:E:E:Enthusiasm;HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability;NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness;MPQ:MPQ:SC:Social Closeness;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability,IPIP100:B5:E;BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E1:FR,2787,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1424,Make rash decisions.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_C:Conscientiousness;HEXACO:H:C:PR:Prudence;NEO_C:Conscientiousness;IPIPneo:C6:CA:Cautiousness;MPQ:MPQ:CO:Control;SPI_15impulsivity:Impulsivity,HEXACO:H:C:PR;MPQ:MPQ:CO;IPIPneo:C6:CA,2764,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1479,Often feel blue.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:ES:Emotional Stability;HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness;NEO_N:Neuroticism;IPIPneo:N3:DE:Depression;MPQ:MPQ:WB:Well-Being,IPIP100:B5:ES;HEXACO:H:X:L;MPQ:MPQ:WB;IPIPneo:N3:DE,2545,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1480,Often feel uncomfortable around others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness,IPIP100:B5:E;IPIPneo:E1:FR,2716,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1511,Pay too little attention to details.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_C:Conscientiousness;HEXACO:H:C:PE:Perfectionism;QB6:QB6:C:Conscientiousness;SPI_15impulsivity:Impulsivity,HEXACO:H:C:PE;QB6:QB6:C,4374,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1531,Prefer to be alone.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness,IPIPneo:E2:GR,2496,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1540,Prefer to stick with things that I know.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness;SPI_15habit:Habit,IPIPneo:O4:AD,2475,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1542,Prefer variety to routine.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness,IPIPneo:O4:AD,2491,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1567,Radiate joy.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness;MPQ:MPQ:WB:Well-Being,MPQ:MPQ:WB;IPIPneo:E6:CH,2425,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1575,Rarely enjoy being with people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability,HEXACO:H:X:S,2697,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1583,Rarely get caught up in the excitement.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:E:Enthusiasm,BFAS:BFAS:E:E,2641,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1599,React quickly.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level,IPIPneo:E4:AL,2455,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1600,React slowly.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level,IPIPneo:E4:AL,2452,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1635,Reveal little about myself.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:E:Enthusiasm;QB6:QB6:X:Extraversion,BFAS:BFAS:E:E;QB6:QB6:X,2814,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1638,Rush into things.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_C:Conscientiousness;IPIPneo:C6:CA:Cautiousness;SPI_15impulsivity:Impulsivity,IPIPneo:C6:CA,2429,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1643,Say little.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness;SPI_3sociability:Sociability,HEXACO:H:X:E,2750,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1652,See myself as a good leader.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:A:Assertiveness;MPQ:MPQ:SP:Social Potency,BFAS:BFAS:E:A;MPQ:MPQ:SP,4365,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1662,Seek adventure.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking;MPQ:MPQ:HA:Harm Avoidance;SPI_15boldness:Boldness;SPI_3sociability:Sociability,MPQ:MPQ:HA;IPIPneo:E5:ES,2469,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1664,Seek danger.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking;MPQ:MPQ:HA:Harm Avoidance;SPI_15boldness:Boldness;SPI_3socCohesion:Social Cohesion,MPQ:MPQ:HA;IPIPneo:E5:ES,2436,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1666,Seek quiet.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness,IPIPneo:E2:GR,2456,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1670,Seek to influence others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness,IPIPneo:E3:AS,2447,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1671,[Enjoy interactions less than others].,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability;SPI_15sociability:Sociability,HEXACO:H:X:S,2729,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1685,Seldom joke around.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness;QB6:QB6:X:Extraversion;SPI_15seriousness:Seriousness,QB6:QB6:X;IPIPneo:E6:CH,2726,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1703,Show my feelings when I'm happy.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:E:Enthusiasm;QB6:QB6:X:Extraversion,BFAS:BFAS:E:E;QB6:QB6:X,2718,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1709,Smile a lot.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness,HEXACO:H:X:L,2777,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1730,Speak softly.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness,HEXACO:H:X:E,4351,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1742,Start conversations.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability,IPIP100:B5:E,2759,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1768,Take charge.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;BFAS:BFAS:E:A:Assertiveness;NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness;MPQ:MPQ:SP:Social Potency,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,4366,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1769,Take control of things.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness,IPIPneo:E3:AS,2536,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1781,Take risks.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,MPQ:MPQ:HA:Harm Avoidance;SPI_15boldness:Boldness;SPI_3sociability:Sociability,MPQ:MPQ:HA,2481,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1795,Talk a lot.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness,HEXACO:H:X:E,2769,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1803,Talk to a lot of different people at parties.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability;NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness;QB6:QB6:X:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability;SPI_15sociability:Sociability,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,2831,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1810,Tell people about it when I'm irritated.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness,HEXACO:H:X:E,4285,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1834,Think quickly.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,BFAS:BFAS:O:I:Intellect;SPI_15intellect:Intellect,BFAS:BFAS:O:I,4372,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1848,Tire out quickly.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness,HEXACO:H:X:L,4296,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1853,Tremble in dangerous situations.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness;SPI_15fear:Fear,HEXACO:H:E:F,3397,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1872,Try to lead others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness,IPIPneo:E3:AS,2527,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1899,Usually enjoy being with people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,QB6:QB6:X:Extraversion,QB6:QB6:X,2797,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1904,Usually like to spend my free time with people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability,HEXACO:H:X:S,2763,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1913,Wait for others to lead the way.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;BFAS:BFAS:E:A:Assertiveness;NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness,IPIP100:B5:E;BFAS:BFAS:E:A;IPIPneo:E3:AS,4333,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1923,Want to be left alone.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness;MPQ:MPQ:SC:Social Closeness,MPQ:MPQ:SC;IPIPneo:E2:GR,2505,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1943,Warm up quickly to others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:E:Enthusiasm;NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness;MPQ:MPQ:SC:Social Closeness,BFAS:BFAS:E:E;MPQ:MPQ:SC;IPIPneo:E1:FR,2854,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1964,Will not probe deeply into a subject.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness,IPIP100:B5:O;HEXACO:H:O:I,2755,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1992,Would be afraid to give a speech in public.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness,HEXACO:H:X:SB,4301,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1993,[Good at rescuing from burning building].,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness,HEXACO:H:E:F,3410,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1998,Would describe my experiences as somewhat dull.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2453,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2001,Would fear walking in a high-crime part of a city.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness,HEXACO:H:E:F,3414,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2011,Would love to explore strange places.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness,HEXACO:H:O:I,2789,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2017,Would never go hang gliding or bungee jumping.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking;MPQ:MPQ:HA:Harm Avoidance;SPI_15boldness:Boldness,MPQ:MPQ:HA;IPIPneo:E5:ES,2445,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2018,[Never go down rapids in a canoe].,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness,HEXACO:H:E:F,3237,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2020,Would never make a high-risk investment.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,MPQ:MPQ:HA:Harm Avoidance,MPQ:MPQ:HA,2471,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2024,[Would not enjoy a highly social job].,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability,HEXACO:H:X:S,2799,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2160,Am not a very enthusiastic person.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:E:Enthusiasm,BFAS:BFAS:E:E,2678,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2161,Do not have an assertive personality.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:A:Assertiveness,BFAS:BFAS:E:A,4315,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2745,Am able to come up with new and different ideas.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,PS:PS:P:Plasticity;SPI_5intelOpen:Intellect/Openness,PS:PS:P,2421,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2754,Am an original thinker.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2480,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2900,Don't think it's important to socialize with others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,QB6:QB6:X:Extraversion,QB6:QB6:X,2856,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_2951,Have a colorful and dramatic way of talking about things. ,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2362,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_3023,Look forward to the opportunity to learn and grow. ,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2449,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_3090,"When with a group, have difficulties selecting a good topic to talk about.","social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2441,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4222,Have many different hobbies.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2480,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4226,Am a talkative person.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability,EPQr:EPQ:E,2487,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
