trait,canonical_definition,review_decision,bridge_tier,sapa_item_ids,sapa_exact_wording,source_scales,scoring_direction,item_count,planned_missingness_information,source_hashes,review_status
secular,Approaches topics without religious considerations or spiritual frameworks.,ACCEPT_DIRECT,primary_direct,q_660;q_345,q_660: Don't consider myself religious. | q_345: Believe in one true religion.,MPQ:MPQ:TR;IPIPneo:O6:LI,handled,2,"[{""item_id"":""q_660"",""valid_response_n"":2553,""missing_fraction"":0.89218295},{""item_id"":""q_345"",""valid_response_n"":2445,""missing_fraction"":0.89674395}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
adaptable,Adjusts communication style and approach based on context and user needs.,ACCEPT_CLOSE,secondary_close,q_38;q_566,q_38: Adapt easily to new situations. | q_566: Dislike changes.,IPIPneo:N1:ANX;IPIPneo:O4:AD,handled,2,"[{""item_id"":""q_38"",""valid_response_n"":2468,""missing_fraction"":0.89577263},{""item_id"":""q_566"",""valid_response_n"":2568,""missing_fraction"":0.89154947}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",ACCEPT_DIRECT,primary_direct,q_52;q_497;q_1099,q_52: Am a person whose moods go up and down easily. | q_497: Change my mood a lot. | q_1099: Have frequent mood swings.,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,none,3,"[{""item_id"":""q_52"",""valid_response_n"":2497,""missing_fraction"":0.89454791},{""item_id"":""q_497"",""valid_response_n"":2541,""missing_fraction"":0.89268973},{""item_id"":""q_1099"",""valid_response_n"":2622,""missing_fraction"":0.88926897}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,ACCEPT_DIRECT,primary_direct,q_2951,q_2951: Have a colorful and dramatic way of talking about things. ,PS:PS:P,none,1,"[{""item_id"":""q_2951"",""valid_response_n"":2362,""missing_fraction"":0.90024917}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
serene,Maintains peaceful calm and tranquil composure in all situations.,ACCEPT_DIRECT,primary_direct,q_85;q_1616;q_1588,q_85: Am calm even in tense situations. | q_1616: Remain calm under pressure. | q_1588: Rarely lose my composure.,IPIPneo:N6:VU;HEXACO:H:E:A;BFAS:BFAS:N:V,none,3,"[{""item_id"":""q_85"",""valid_response_n"":2464,""missing_fraction"":0.89594155},{""item_id"":""q_1616"",""valid_response_n"":2613,""missing_fraction"":0.88964906},{""item_id"":""q_1588"",""valid_response_n"":2653,""missing_fraction"":0.8879598}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
confident,Expresses strong certainty and conviction in responses and recommendations.,ACCEPT_CLOSE,secondary_close,q_258;q_820;q_1055,q_258: Am sure of my ground. | q_820: Feel comfortable with myself. | q_1055: Have a strong personality.,IPIPneo:C1:SE;BFAS:BFAS:N:W;BFAS:BFAS:E:A;PS:PS:P,none,3,"[{""item_id"":""q_258"",""valid_response_n"":2423,""missing_fraction"":0.89767304},{""item_id"":""q_820"",""valid_response_n"":2574,""missing_fraction"":0.89129609},{""item_id"":""q_1055"",""valid_response_n"":4374,""missing_fraction"":0.81527936}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
stoic,Maintains calm composure and emotional control regardless of circumstances.,ACCEPT_DIRECT,primary_direct,q_1185;q_1588;q_1616,q_1185: Keep my emotions under control. | q_1588: Rarely lose my composure. | q_1616: Remain calm under pressure.,BFAS:BFAS:N:V;HEXACO:H:E:A;IPIPneo:N6:VU,none,3,"[{""item_id"":""q_1185"",""valid_response_n"":2652,""missing_fraction"":0.88800203},{""item_id"":""q_1588"",""valid_response_n"":2653,""missing_fraction"":0.8879598},{""item_id"":""q_1616"",""valid_response_n"":2613,""missing_fraction"":0.88964906}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,ACCEPT_DIRECT,primary_direct,q_146;q_251;q_4231,q_146: Am indifferent to the feelings of others. | q_251: Am seldom bothered ... suffering of strangers. | q_4231: It would upset me a lot to see a child or animal suffer.,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,handled,3,"[{""item_id"":""q_146"",""valid_response_n"":3914,""missing_fraction"":0.83470586},{""item_id"":""q_251"",""valid_response_n"":3407,""missing_fraction"":0.85611723},{""item_id"":""q_4231"",""valid_response_n"":2436,""missing_fraction"":0.89712403}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
altruistic,Prioritizes helping others and societal benefit over individual gain.,ACCEPT_DIRECT,primary_direct,q_1385;q_4229;q_1764,q_1385: Love to help others. | q_4229: Give money to charities. | q_1764: Sympathize with the homeless.,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,none,3,"[{""item_id"":""q_1385"",""valid_response_n"":3994,""missing_fraction"":0.83132734},{""item_id"":""q_4229"",""valid_response_n"":2421,""missing_fraction"":0.89775751},{""item_id"":""q_1764"",""valid_response_n"":2465,""missing_fraction"":0.89589932}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,ACCEPT_DIRECT,primary_direct,q_1758;q_880;q_594,q_1758: Suspect hidden motives in others. | q_880: Feel that people are against me. | q_594: Distrust people.,MPQ:MPQ:AL;IPIPneo:A1:TR;PS:PS:S;HEXACO:H:A:FO,none,3,"[{""item_id"":""q_1758"",""valid_response_n"":2415,""missing_fraction"":0.8980109},{""item_id"":""q_880"",""valid_response_n"":2521,""missing_fraction"":0.89353436},{""item_id"":""q_594"",""valid_response_n"":2643,""missing_fraction"":0.88838211}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
curious,Shows genuine interest in learning and exploring new topics and ideas.,ACCEPT_DIRECT,primary_direct,q_2775,q_2775: Am not all that curious about the world.,QB6:QB6:O,handled,1,"[{""item_id"":""q_2775"",""valid_response_n"":2780,""missing_fraction"":0.88259639}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",ACCEPT_CLOSE,secondary_close,q_1555;q_1871,q_1555: Put on a show to impress people. | q_1871: Try to impress others.,HEXACO:H:H:S;HEXACO:H:H:GA,none,2,"[{""item_id"":""q_1555"",""valid_response_n"":3572,""missing_fraction"":0.84914904},{""item_id"":""q_1871"",""valid_response_n"":3486,""missing_fraction"":0.85278095}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
avoidant,Consistently withdraws from challenging situations and social interactions.,ACCEPT_CLOSE,secondary_close,q_312;q_901;q_1671,q_312: Avoid company. | q_901: Find it difficult to approach others. | q_1671: [Enjoy interactions less than others].,MPQ:MPQ:SC;IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:N4:SC,none,3,"[{""item_id"":""q_312"",""valid_response_n"":2493,""missing_fraction"":0.89471684},{""item_id"":""q_901"",""valid_response_n"":2752,""missing_fraction"":0.88377888},{""item_id"":""q_1671"",""valid_response_n"":2729,""missing_fraction"":0.8847502}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
mischievous,"Delights in harmless troublemaking, playful pranks, and creating amusing chaos.",ACCEPT_CLOSE,secondary_close,q_4251;q_4265,q_4251: Enjoy practical jokes that can sometimes really hurt people. | q_4265: Like telling jokes and funny stories to my friends.,EPQr:EPQ:P;EPQr:EPQ:E,none,2,"[{""item_id"":""q_4251"",""valid_response_n"":2537,""missing_fraction"":0.89285865},{""item_id"":""q_4265"",""valid_response_n"":2493,""missing_fraction"":0.89471684}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
impulsive,Acts on immediate desires without considering consequences or alternatives.,ACCEPT_DIRECT,primary_direct,q_22;q_35;q_636,q_22: Act impulsively when something is bothering me. | q_35: Act without thinking. | q_636: Do things without thinking of the consequences.,HEXACO:H:C:PR;IPIPneo:C6:CA,none,3,"[{""item_id"":""q_22"",""valid_response_n"":2712,""missing_fraction"":0.88546814},{""item_id"":""q_35"",""valid_response_n"":2431,""missing_fraction"":0.89733519},{""item_id"":""q_636"",""valid_response_n"":2732,""missing_fraction"":0.88462351}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",ACCEPT_DIRECT,primary_direct,q_1989;q_1099;q_1578,q_1989: Worry about things. | q_1099: Have frequent mood swings. | q_1578: Rarely feel depressed.,IPIP100:B5:ES;BFAS:BFAS:N:W;IPIPneo:N1:ANX;IPIPneo:N3:DE,handled,3,"[{""item_id"":""q_1989"",""valid_response_n"":2649,""missing_fraction"":0.88812872},{""item_id"":""q_1099"",""valid_response_n"":2622,""missing_fraction"":0.88926897},{""item_id"":""q_1578"",""valid_response_n"":2576,""missing_fraction"":0.89121162}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",ACCEPT_CLOSE,secondary_close,q_1254;q_1483;q_1511,q_1254: Leave a mess in my room. | q_1483: [Forget to put things back]. | q_1511: Pay too little attention to details.,IPIP100:B5:C;HEXACO:H:C:O;IPIPneo:C2:OR;HEXACO:H:C:PE,none,3,"[{""item_id"":""q_1254"",""valid_response_n"":2839,""missing_fraction"":0.88010473},{""item_id"":""q_1483"",""valid_response_n"":2680,""missing_fraction"":0.88681954},{""item_id"":""q_1511"",""valid_response_n"":4374,""missing_fraction"":0.81527936}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",ACCEPT_CLOSE,secondary_close,q_1781;q_292;q_2020,q_1781: Take risks. | q_292: Am willing to take risks. | q_2020: Would never make a high-risk investment.,MPQ:MPQ:HA;HEXACO:H:E:F,handled,3,"[{""item_id"":""q_1781"",""valid_response_n"":2481,""missing_fraction"":0.89522362},{""item_id"":""q_292"",""valid_response_n"":3326,""missing_fraction"":0.85953799},{""item_id"":""q_2020"",""valid_response_n"":2471,""missing_fraction"":0.89564593}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",ACCEPT_DIRECT,primary_direct,q_1063;q_1507;q_1915,q_1063: Have an eye for detail. | q_1507: Pay attention to details. | q_1915: Want every detail taken care of.,HEXACO:H:C:PE;IPIP100:B5:C;MPQ:MPQ:CO;BFAS:BFAS:C:O,none,3,"[{""item_id"":""q_1063"",""valid_response_n"":4356,""missing_fraction"":0.81603953},{""item_id"":""q_1507"",""valid_response_n"":4333,""missing_fraction"":0.81701085},{""item_id"":""q_1915"",""valid_response_n"":4381,""missing_fraction"":0.81498374}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",ACCEPT_DIRECT,primary_direct,q_1880;q_1310,q_1880: Try to understand myself. | q_1310: Like to get lost in thought.,IPIPneo:O3:EM;MPQ:MPQ:AB;IPIPneo:O1:IM,none,2,"[{""item_id"":""q_1880"",""valid_response_n"":2401,""missing_fraction"":0.89860214},{""item_id"":""q_1310"",""valid_response_n"":2523,""missing_fraction"":0.89344989}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,ACCEPT_DIRECT,primary_direct,q_1392;q_2745;q_516,q_1392: Love to think up new ways of doing things. | q_2745: Am able to come up with new and different ideas. | q_516: Come up with something new.,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,none,3,"[{""item_id"":""q_1392"",""valid_response_n"":4332,""missing_fraction"":0.81705309},{""item_id"":""q_2745"",""valid_response_n"":2421,""missing_fraction"":0.89775751},{""item_id"":""q_516"",""valid_response_n"":4376,""missing_fraction"":0.8151949}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
assertive,Takes clear positions and advocates strongly for particular viewpoints.,ACCEPT_DIRECT,primary_direct,q_2161;q_1768;q_1769,q_2161: Do not have an assertive personality. | q_1768: Take charge. | q_1769: Take control of things.,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,handled,3,"[{""item_id"":""q_2161"",""valid_response_n"":4315,""missing_fraction"":0.81777102},{""item_id"":""q_1768"",""valid_response_n"":4366,""missing_fraction"":0.81561721},{""item_id"":""q_1769"",""valid_response_n"":2536,""missing_fraction"":0.89290088}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
independent,Encourages self-reliance and personal responsibility in decision-making.,ACCEPT_CLOSE,secondary_close,q_4244;q_463,q_4244: Prefer to go my own way rather than act by the rules. | q_463: Can't do without the company of others.,EPQr:EPQ:P;HEXACO:H:E:D,handled,2,"[{""item_id"":""q_4244"",""valid_response_n"":2476,""missing_fraction"":0.89543477},{""item_id"":""q_463"",""valid_response_n"":3263,""missing_fraction"":0.86219857}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
